item,itemLabel,orcid
https://portal.mardi4nfdi.de/entity/Q57349,Christoph Molnar,0000-0003-2331-868X
https://portal.mardi4nfdi.de/entity/Q57730,Matthew L. Fidler,0000-0001-8538-6691
https://portal.mardi4nfdi.de/entity/Q57352,Gert Stulp,0000-0003-0173-5554
https://portal.mardi4nfdi.de/entity/Q57360,Bettina Grün,0000-0001-7265-4773
https://portal.mardi4nfdi.de/entity/Q57384,Daniel D. Sjoberg,0000-0003-0862-2018
https://portal.mardi4nfdi.de/entity/Q57387,Steven Haesendonckx,0000-0001-8222-3686
https://portal.mardi4nfdi.de/entity/Q57389,Tim Treis,0000-0002-9686-4799
https://portal.mardi4nfdi.de/entity/Q57467,Garrick Aden-Buie,0000-0002-7111-0077
https://portal.mardi4nfdi.de/entity/Q57468,Barret Schloerke,0000-0001-9986-114X
https://portal.mardi4nfdi.de/entity/Q57470,Alexander Rossell Hayes,0000-0001-9412-0457
https://portal.mardi4nfdi.de/entity/Q57487,Kevin Kuo,0000-0001-7803-7901
https://portal.mardi4nfdi.de/entity/Q57520,Gerta Rücker,0000-0002-2192-2560
https://portal.mardi4nfdi.de/entity/Q57523,Jochem König,0000-0003-4683-0360
https://portal.mardi4nfdi.de/entity/Q57525,Orestis Efthimiou,0000-0002-0955-7572
https://portal.mardi4nfdi.de/entity/Q57527,Annabel L Davies,0000-0003-2320-7701
https://portal.mardi4nfdi.de/entity/Q57532,Theodoros Papakonstantinou,0000-0002-6630-6817
https://portal.mardi4nfdi.de/entity/Q57535,Guido Schwarzer,0000-0001-6214-9087
https://portal.mardi4nfdi.de/entity/Q57541,Adriani Nikolakopoulou,0000-0001-5884-4319
https://portal.mardi4nfdi.de/entity/Q57542,Georgia Salanti,0000-0002-3830-8508
https://portal.mardi4nfdi.de/entity/Q57550,Maria Petropoulou,0000-0002-7147-3644
https://portal.mardi4nfdi.de/entity/Q57588,Kohei Watanabe,0000-0001-6519-5265
https://portal.mardi4nfdi.de/entity/Q57605,Kenneth Benoit,0000-0002-0797-564X
https://portal.mardi4nfdi.de/entity/Q57609,Yves Deville,0000-0002-1233-488X
https://portal.mardi4nfdi.de/entity/Q57623,Caspar J. van Lissa,0000-0002-0808-5024
https://portal.mardi4nfdi.de/entity/Q57635,Denisson Silva,0000-0003-2771-8146
https://portal.mardi4nfdi.de/entity/Q57636,Willber Nascimento,0000-0002-2257-8108
https://portal.mardi4nfdi.de/entity/Q57637,Fernando Meireles,0000-0002-7027-2058
https://portal.mardi4nfdi.de/entity/Q57638,Jose Alexandre,0000-0002-6068-7460
https://portal.mardi4nfdi.de/entity/Q57671,Junya Watanabe,0000-0002-9810-5286
https://portal.mardi4nfdi.de/entity/Q57682,Misung Yi,0000-0002-4007-5408
https://portal.mardi4nfdi.de/entity/Q57683,Tingting Zhan,0000-0001-9971-4844
https://portal.mardi4nfdi.de/entity/Q57684,Inna Chervoneva,0000-0002-9104-4505
https://portal.mardi4nfdi.de/entity/Q57694,Dimitri Justeau-Allaire,0000-0003-4129-0764
https://portal.mardi4nfdi.de/entity/Q57700,Jeffrey O. Hanson,0000-0002-4716-6134
https://portal.mardi4nfdi.de/entity/Q57704,Ghislain Vieilledent,0000-0002-1685-4997
https://portal.mardi4nfdi.de/entity/Q57720,Filiz Karadag,0000-0002-0116-7772
https://portal.mardi4nfdi.de/entity/Q57721,Hakan Savas Sazak,0000-0001-6123-1214
https://portal.mardi4nfdi.de/entity/Q57751,Michael J. Betancourt,0000-0002-2900-0931
https://portal.mardi4nfdi.de/entity/Q57760,Matthew Boone,0000-0002-8070-4715
https://portal.mardi4nfdi.de/entity/Q57763,Rocío Joo,0000-0003-0319-4210
https://portal.mardi4nfdi.de/entity/Q57765,Mathieu Basille,0000-0001-9366-7127
https://portal.mardi4nfdi.de/entity/Q57773,Jonathan Rittmo,0000-0001-5075-0166
https://portal.mardi4nfdi.de/entity/Q57779,Robert D McIntosh,0000-0002-7615-6699
https://portal.mardi4nfdi.de/entity/Q57795,Dominik S. Meier,0000-0002-3999-1388
https://portal.mardi4nfdi.de/entity/Q57803,Aaron Clark,0000-0002-0123-0970
https://portal.mardi4nfdi.de/entity/Q57836,Uri Keich,0000-0002-3209-5011
https://portal.mardi4nfdi.de/entity/Q57864,Benjamin R Saville,0000-0001-6058-7171
https://portal.mardi4nfdi.de/entity/Q57883,Ryan Andrew Peterson,0000-0002-4650-5798
https://portal.mardi4nfdi.de/entity/Q57891,Trevor L Davis,0000-0001-6341-4639
https://portal.mardi4nfdi.de/entity/Q57909,Jon Harmon,0000-0003-4781-4346
https://portal.mardi4nfdi.de/entity/Q57927,Hanne Fjelde,0000-0001-5251-7309
https://portal.mardi4nfdi.de/entity/Q57948,Dan L. Warren,0000-0002-8747-2451
https://portal.mardi4nfdi.de/entity/Q57952,Russell Dinnage,0000-0003-0846-2819
https://portal.mardi4nfdi.de/entity/Q57975,John B. Baumgartner,0000-0002-8898-0300
