zbmath_id	author	author_ids	document_title	source	classifications	language	links	keywords	doi	publication_year	serial
oai:zbmath.org:5998093	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	avrin.jack-s	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	81V25;57M27;81V17;83C47	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	None	torus knots;solitons;Moebius strips;differential geometry;general relativity	10.1142/S0218216511009492	2011	zbMATH Open Web Interface contents unavailable due to conflicting licenses.;zbMATH Open Web Interface contents unavailable due to conflicting licenses.
oai:zbmath.org:5998094	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	zablow.joel	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	57M25;57M27;17D99	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	None	quandle homology;elliptic fibration;mapping class group;intersection number	10.1142/S0218216511009480	2011	zbMATH Open Web Interface contents unavailable due to conflicting licenses.;zbMATH Open Web Interface contents unavailable due to conflicting licenses.
oai:zbmath.org:5998095	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	baumeister.barbara;gruninger.matthias	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	20E42;20B20;20D06;51E24	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	https://arxiv.org/abs/1011.5836	Moufang sets;Zassenhaus groups;Suzuki groups;transitive permutation groups;split BN-pairs;root groups	10.1142/S0219199711004506	2011	zbMATH Open Web Interface contents unavailable due to conflicting licenses.;zbMATH Open Web Interface contents unavailable due to conflicting licenses.
oai:zbmath.org:5998096	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	lin.lishan;liu.zhaoli	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	35J20;35J60	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	None	equation of Caffarelli-Kohn-Nirenberg type;multi-bubble solution	10.1142/S0219199711004518	2011	zbMATH Open Web Interface contents unavailable due to conflicting licenses.;zbMATH Open Web Interface contents unavailable due to conflicting licenses.
oai:zbmath.org:5998097	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	hayashi.nakao;naumkin.pavel-i	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	35Q55;35B40;35A02	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	None	asymptotics of solutions;quadratic nonlinear Schrödinger equation	10.1142/S021919971100452X	2011	zbMATH Open Web Interface contents unavailable due to conflicting licenses.;zbMATH Open Web Interface contents unavailable due to conflicting licenses.
oai:zbmath.org:5998098	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	favaron.alberto	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	35P05;35M10;35B45;47F05;47A75	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	https://arxiv.org/abs/0910.0652	spectral theory;Tricomi operator;\(L^{2}\) eigenfunction bounds	10.1142/S0219199711004531	2011	zbMATH Open Web Interface contents unavailable due to conflicting licenses.;zbMATH Open Web Interface contents unavailable due to conflicting licenses.
oai:zbmath.org:5998099	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	perez-llanos.mayte;rossi.julio-daniel	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	35J20;35J60;35J70;35D40	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	None	\((p,q)\)-Laplacian;infinity-Laplacian;viscosity solutions	10.1142/S0219199711004543	2011	zbMATH Open Web Interface contents unavailable due to conflicting licenses.;zbMATH Open Web Interface contents unavailable due to conflicting licenses.
oai:zbmath.org:5998100	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	arcusin.nitay;pinsky.ross-g	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	35P20;60J65;47A75	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	https://arxiv.org/abs/1105.3613	principal eigenvalue;nonlocal differential operator;Brownian motion;random space-dependent jumps	10.1142/S0219199711004555	2011	zbMATH Open Web Interface contents unavailable due to conflicting licenses.;zbMATH Open Web Interface contents unavailable due to conflicting licenses.
oai:zbmath.org:5998101	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	wei.juncheng;yao.wei.1	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	35Q55;35C07;35B40;35B06;76G25	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	None	nonlinear Schrödinger equation;traveling wave;symmetry;Hamiltonian identity	10.1142/S0219199711004567	2011	zbMATH Open Web Interface contents unavailable due to conflicting licenses.;zbMATH Open Web Interface contents unavailable due to conflicting licenses.
oai:zbmath.org:5998102	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	holub.stepan;kortelainen.juha	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	68Q45;68R15;52C35	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	None	formal languages;finite automata;separation by closed sets;Parikh vector	10.1142/S0218196711006650	2011	zbMATH Open Web Interface contents unavailable due to conflicting licenses.;zbMATH Open Web Interface contents unavailable due to conflicting licenses.
